,branch4,col1,col101,col102,col103,col104,col105,col106,col2,col201,col202,col203,col204,col205,col206,col207,col208,col209,col210,col211,col212,col213,col214,col3,col301,col302,col303,col304,col305,col4,col401,col402,col403,col404,col405,col5,col7,col8,hiweight,hntst1,hntst10,hntst101,hntst102,hntst103,hntst104,hntst105,hntst11,hntst12,hntst2,hntst201,hntst202,hntst203,hntst204,hntst205,hntst206,hntst207,hntst208,hntst209,hntst210,hntst3,hntst301,hntst302,hntst303,hntst304,hntst305,hntst306,hntst307,hntst308,hntst309,hntst310,hntst4,hntst401,hntst402,hntst403,hntst404,hntst405,hntst406,hntst5,hntst7,hntst9,hock1,hock101,hock102,hock103,hock104,hock105,hock106,hock107,hock108,hock109,hock110,hock111,hock2,hock3,hock5,hock6,hrs2,hrs201,hrs202,hrs203,hrs204,hrs205,hrs3,hrs5,hrs6,hrse1,hrse101,hrse102,hrse103,hrse104,hrse105,hrse106,idnumber,jog1,jog101,jog102,jog103,jog104,jog105,jog106,jog107,jog108,jog109,jog110,jog2,jog3,jog301,jog302,jog303,jog304,jog305,jog4,jog5,jog501,jog502,jog503,jog504,jog505,jog506,jog507,jog6,jog8,jog9,lax1,lax101,lax102,lax103,lax104,lax105,lax106,lax2,lax3,lax5,lax6,loweight,off1,off101,off102,off103,off104,off105,off2,off201,off202,off203,off204,off205,off206,off207,off208,off3,off301,off302,off303,off304,off305,off306,off307,off308,off4,off401,off402,off403,off404,off405,off406,off407,off408,off5,off7,off8,shoot1,shoot101,shoot102,shoot103,shoot104,shoot105,shoot106,shoot107,shoot108,skte1,skte101,skte102,skte103,skte104,skte105,skte106,skte107,skte108,skte109,skte110,skte111,skte12,skte3,skte4,view1,view101,view102,view103,view104,view105,view106,view107,view108,view109,view110,view111,view112,view2,view201,view202,view203,view204,view205,view206,view207,view208,view3,view4,view401,view402,view403,view404,view405,view406,view407,view408,view409,view410,view411,view412,view5,view7,view8
12,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9681.80,1000,,Not checked,Checked,Not checked,Not checked,Not checked,Satisfied,Satisfied,100000000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,1100000000,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Yes,10000,Checked,Not checked,Not checked,Not checked,Not checked,No,,,,,,,,,50,Satisfied,Satisfied,,,,,,,,,,,,1.96,1000,Not checked,Checked,Not checked,Not checked,Not checked,,,,,,,,,,10000,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,,,,,,,,,,5,Satisfied,Satisfied,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,No,,,,,,,,,,,,,,3,Highly satisfied,Highly satisfied
14,At least 18,100000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,1000000100000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,,,,,,,8,Satisfied,Satisfied,84.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Satisfied,Satisfied,100,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,10000,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,No,,,,,,,,,,,,,,6,Satisfied,Satisfied
15,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7578.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,1111000000,Checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,11100,Checked,Checked,Checked,Not checked,Not checked,No,,,,,,,,,50,Highly satisfied,Highly satisfied,,,,,,,,,,,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10011000000,Not checked,Checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,,,,,,,,,,,,,,20,Highly satisfied,Highly satisfied
16,At least 18,100000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,100100,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Checked,Not checked,Not checked,,,,,,,,,,,,,31,Satisfied,Satisfied,247.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,110000,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Don't know,,,,,,,,,,,,,,30,Satisfied,Satisfied
17,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4563.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,10000,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,No,,,,,,,,,,,,,,3,Highly satisfied,Highly satisfied
18,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2241.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00,100000,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Yes,,,,,,,,1000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,50,Satisfied,Satisfied,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,10000,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,No,,,,,,,,,,,,,,,Don't know / doesn't apply,Don't know / doesn't apply
19,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1769.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,1000000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,1000,Not checked,Checked,Not checked,Not checked,Not checked,No,,,,,,,,,100,Satisfied,Satisfied,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Satisfied,Satisfied,100,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,21.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,11000,Checked,Checked,Not checked,Not checked,Not checked,1001000,Not checked,Checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,1000000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,,,,8,Dissatisfied,Dissatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,At least 18,101000,Checked,Not checked,Checked,Not checked,Not checked,Not checked,10000,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,1000,Not checked,Checked,Not checked,Not checked,Not checked,,,,,,,2,Satisfied,Satisfied,84.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,,,,,,,,,,,,,,30,Satisfied,Satisfied
23,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5117.96,1000,,Not checked,Checked,Not checked,Not checked,Not checked,Highly dissatisfied,No public facilities nearby,10000000,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4201.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5352.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.00,1100000000,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,10000,Checked,Not checked,Not checked,Not checked,Not checked,Yes,,,,,,,,,30,Satisfied,Satisfied,,,,,,,,,,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.80,10000,Highly satisfied,Checked,Not checked,Not checked,Not checked,Not checked,,,,,,,,,,,,,,10000000,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,1000,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,3,,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,At least 18,100000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,1000000000,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,,,,,,,1,Satisfied,Satisfied,294.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,,,,,,,,,,,,,,180,Satisfied,Satisfied
29,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5613.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
